"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","Total Mig - US & For",7197789,13574975,334064945
"00","000","97","000","US","Total Mig - US",7094102,13383259,329113211
"00","000","97","001","US","Total Mig - US Same St",3993259,7481565,172052016
"00","000","97","003","US","Total Mig - US Diff St",3100843,5901694,157061195
"00","000","98","000","US","Total Mig - Foreign",103687,191716,4951733
"01","000","96","000","AL","Total Mig - US & For",96288,195327,3817010
"01","000","97","000","AL","Total Mig - US",95128,192885,3771881
"01","000","97","001","AL","Total Mig - US Same St",55057,112142,2040149
"01","000","97","003","AL","Total Mig - US Diff St",40071,80743,1731732
"01","000","98","000","AL","Total Mig - Foreign",1160,2442,45129
"01","001","96","000","AL","Autauga County Tot Mig-US & For",1781,4155,75576
"01","001","97","000","AL","Autauga County Tot Mig-US",1739,3991,72870
"01","001","97","001","AL","Autauga County Tot Mig-Same St",1140,2352,39955
"01","001","97","003","AL","Autauga County Tot Mig-Diff St",599,1639,32915
"01","001","98","000","AL","Autauga County Tot Mig-Foreign",42,164,2706
"01","001","01","001","AL","Autauga County Non-Migrants",15944,37767,827611
"01","001","01","101","AL","Montgomery County",373,726,10872
"01","001","01","051","AL","Elmore County",352,759,14095
"01","001","01","021","AL","Chilton County",71,155,1887
"01","001","01","047","AL","Dallas County",47,107,1216
"01","001","01","073","AL","Jefferson County",45,82,1460
"01","001","01","117","AL","Shelby County",38,100,2358
"01","001","08","041","CO","El Paso County",20,76,1520
"01","001","01","081","AL","Lee County",19,35,1065
"01","001","51","059","VA","Fairfax County",18,65,1804
"01","001","01","097","AL","Mobile County",16,36,753
"01","001","01","125","AL","Tuscaloosa County",16,26,581
"01","001","01","089","AL","Madison County",14,33,469
"01","001","01","003","AL","Baldwin County",12,24,761
"01","001","01","085","AL","Lowndes County",12,21,221
"01","001","48","029","TX","Bexar County",12,30,779
"01","001","12","091","FL","Okaloosa County",11,35,735
"01","001","01","069","AL","Houston County",10,23,374
"01","001","12","033","FL","Escambia County",10,18,447
"01","001","58","000","SS","Other Flows - Same State",115,225,3843
"01","001","59","000","DS","Other Flows - Diff State",528,1415,27629
"01","001","59","001","DS","Other Flows - Northeast",25,60,916
"01","001","59","003","DS","Other Flows - Midwest",71,213,4464
"01","001","59","005","DS","Other Flows - South",336,834,16704
"01","001","59","007","DS","Other Flows - West",96,308,5545
"01","001","57","009","FR","Foreign - Other flows",42,164,2706
"01","003","96","000","AL","Baldwin County Tot Mig-US & For",3538,6780,161156
"01","003","97","000","AL","Baldwin County Tot Mig-US",3500,6711,159868
"01","003","97","001","AL","Baldwin County Tot Mig-Same St",1415,2674,53410
"01","003","97","003","AL","Baldwin County Tot Mig-Diff St",2085,4037,106458
"01","003","98","000","AL","Baldwin County Tot Mig-Foreign",38,69,1289
"01","003","01","003","AL","Baldwin County Non-Migrants",52566,115030,2996234
"01","003","01","097","AL","Mobile County",615,1153,21652
"01","003","12","033","FL","Escambia County",239,461,8125
"01","003","01","073","AL","Jefferson County",106,192,4429
"01","003","01","117","AL","Shelby County",76,157,4944
"01","003","01","053","AL","Escambia County",61,123,1639
"01","003","01","101","AL","Montgomery County",54,96,2997
"01","003","01","081","AL","Lee County",47,77,1911
"01","003","01","125","AL","Tuscaloosa County",45,73,1494
"01","003","12","113","FL","Santa Rosa County",40,99,2128
"01","003","01","089","AL","Madison County",39,74,1507
"01","003","28","059","MS","Jackson County",33,65,812
"01","003","28","047","MS","Harrison County",30,67,837
"01","003","12","091","FL","Okaloosa County",26,46,11956
"01","003","48","201","TX","Harris County",25,54,1355
"01","003","57","005","FR","Foreign - APO/FPO ZIPs",24,41,823
"01","003","12","057","FL","Hillsborough County",23,38,585
"01","003","01","051","AL","Elmore County",22,40,671
"01","003","01","099","AL","Monroe County",21,48,639
"01","003","12","005","FL","Bay County",21,42,1580
"01","003","01","069","AL","Houston County",20,44,851
"01","003","47","037","TN","Davidson County",20,28,642
"01","003","22","103","LA","St Tammany Parish",19,38,998
"01","003","01","001","AL","Autauga County",17,36,676
"01","003","01","025","AL","Clarke County",17,28,683
"01","003","06","073","CA","San Diego County",17,26,512
"01","003","13","121","GA","Fulton County",17,25,1025
"01","003","28","045","MS","Hancock County",17,29,765
"01","003","01","103","AL","Morgan County",16,27,501
"01","003","12","031","FL","Duval County",16,27,414
"01","003","13","067","GA","Cobb County",16,23,845
"01","003","48","439","TX","Tarrant County",15,27,1262
"01","003","01","095","AL","Marshall County",14,28,383
"01","003","13","089","GA","De Kalb County",14,22,568
"01","003","22","033","LA","East Baton Rouge Par",14,25,1157
"01","003","22","071","LA","Orleans Parish",14,18,651
"01","003","01","015","AL","Calhoun County",13,33,628
"01","003","01","043","AL","Cullman County",13,34,498
"01","003","37","133","NC","Onslow County",13,22,275
"01","003","01","031","AL","Coffee County",12,23,662
"01","003","01","115","AL","St Clair County",12,21,689
"01","003","04","013","AZ","Maricopa County",12,18,396
"01","003","12","103","FL","Pinellas County",12,16,750
"01","003","12","105","FL","Polk County",12,23,796
"01","003","13","135","GA","Gwinnett County",12,24,706
"01","003","17","031","IL","Cook County",12,23,403
"01","003","22","051","LA","Jefferson Parish",12,23,394
"01","003","32","003","NV","Clark County",12,24,409
"01","003","01","077","AL","Lauderdale County",11,20,359
"01","003","01","121","AL","Talladega County",11,20,249
"01","003","37","119","NC","Mecklenburg County",11,18,792
"01","003","47","125","TN","Montgomery County",11,26,212
"01","003","47","157","TN","Shelby County",11,15,493
"01","003","48","453","TX","Travis County",11,13,382
"01","003","01","039","AL","Covington County",10,25,451
"01","003","01","109","AL","Pike County",10,13,209
"01","003","01","123","AL","Tallapoosa County",10,18,296
"01","003","12","073","FL","Leon County",10,17,438
"01","003","12","131","FL","Walton County",10,21,545
"01","003","13","077","GA","Coweta County",10,22,794
"01","003","22","055","LA","Lafayette Parish",10,19,492
"01","003","28","035","MS","Forrest County",10,20,638
"01","003","58","000","SS","Other Flows - Same State",143,271,4392
"01","003","59","000","DS","Other Flows - Diff State",1278,2533,61328
"01","003","59","001","DS","Other Flows - Northeast",97,170,3062
"01","003","59","003","DS","Other Flows - Midwest",201,388,8138
"01","003","59","005","DS","Other Flows - South",792,1612,37922
"01","003","59","007","DS","Other Flows - West",188,363,12206
"01","003","57","009","FR","Foreign - Other flows",14,28,466
"01","005","96","000","AL","Barbour County Tot Mig-US & For",534,1135,17145
"01","005","97","000","AL","Barbour County Tot Mig-US",534,1135,17145
"01","005","97","001","AL","Barbour County Tot Mig-Same St",299,648,9395
"01","005","97","003","AL","Barbour County Tot Mig-Diff St",235,487,7750
"01","005","98","000","AL","Barbour County Tot Mig-Foreign",-1,-1,-1
"01","005","01","005","AL","Barbour County Non-Migrants",8034,18110,322577
"01","005","01","069","AL","Houston County",55,113,1296
"01","005","01","067","AL","Henry County",44,114,1608
"01","005","01","045","AL","Dale County",31,72,984
"01","005","01","101","AL","Montgomery County",26,50,652
"01","005","13","239","GA","Quitman County",26,55,612
"01","005","13","215","GA","Muscogee County",23,44,393
"01","005","01","109","AL","Pike County",20,42,450
"01","005","01","011","AL","Bullock County",18,45,426
"01","005","01","081","AL","Lee County",15,30,1102
"01","005","01","073","AL","Jefferson County",11,20,377
"01","005","01","113","AL","Russell County",11,27,235
"01","005","01","031","AL","Coffee County",10,19,378
"01","005","58","000","SS","Other Flows - Same State",58,116,1886
"01","005","59","000","DS","Other Flows - Diff State",186,388,6745
"01","007","96","000","AL","Bibb County Tot Mig-US & For",448,921,14979
"01","007","97","000","AL","Bibb County Tot Mig-US",448,921,14979
"01","007","97","001","AL","Bibb County Tot Mig-Same St",369,779,12439
"01","007","97","003","AL","Bibb County Tot Mig-Diff St",79,142,2540
"01","007","98","000","AL","Bibb County Tot Mig-Foreign",-1,-1,-1
"01","007","01","007","AL","Bibb County Non-Migrants",6265,14951,271336
"01","007","01","125","AL","Tuscaloosa County",125,272,4631
"01","007","01","073","AL","Jefferson County",82,162,2373
"01","007","01","117","AL","Shelby County",61,128,2326
"01","007","01","021","AL","Chilton County",28,64,906
"01","007","58","000","SS","Other Flows - Same State",73,153,2204
"01","007","59","000","DS","Other Flows - Diff State",79,142,2540
"01","009","96","000","AL","Blount County Tot Mig-US & For",1026,2215,35463
"01","009","97","000","AL","Blount County Tot Mig-US",1026,2215,35463
"01","009","97","001","AL","Blount County Tot Mig-Same St",842,1793,28310
"01","009","97","003","AL","Blount County Tot Mig-Diff St",184,422,7153
"01","009","98","000","AL","Blount County Tot Mig-Foreign",-1,-1,-1
"01","009","01","009","AL","Blount County Non-Migrants",15740,38304,746269
"01","009","01","073","AL","Jefferson County",367,743,14017
"01","009","01","043","AL","Cullman County",99,221,3055
"01","009","01","095","AL","Marshall County",82,199,1974
"01","009","01","055","AL","Etowah County",57,144,2128
"01","009","01","115","AL","St Clair County",57,120,1821
"01","009","01","117","AL","Shelby County",30,67,1013
"01","009","01","089","AL","Madison County",19,36,434
"01","009","01","103","AL","Morgan County",17,32,475
"01","009","01","127","AL","Walker County",12,21,414
"01","009","58","000","SS","Other Flows - Same State",102,210,2980
"01","009","59","000","DS","Other Flows - Diff State",184,422,7153
"01","011","96","000","AL","Bullock County Tot Mig-US & For",180,363,6860
"01","011","97","000","AL","Bullock County Tot Mig-US",180,363,6860
"01","011","97","001","AL","Bullock County Tot Mig-Same St",139,294,5670
"01","011","97","003","AL","Bullock County Tot Mig-Diff St",41,69,1190
"01","011","98","000","AL","Bullock County Tot Mig-Foreign",-1,-1,-1
"01","011","01","011","AL","Bullock County Non-Migrants",2648,5897,84280
"01","011","01","101","AL","Montgomery County",47,99,3480
"01","011","01","109","AL","Pike County",18,33,530
"01","011","01","005","AL","Barbour County",16,38,278
"01","011","01","087","AL","Macon County",14,29,176
"01","011","58","000","SS","Other Flows - Same State",44,95,1206
"01","011","59","000","DS","Other Flows - Diff State",41,69,1190
"01","013","96","000","AL","Butler County Tot Mig-US & For",376,772,11601
"01","013","97","000","AL","Butler County Tot Mig-US",376,772,11601
"01","013","97","001","AL","Butler County Tot Mig-Same St",258,535,8005
"01","013","97","003","AL","Butler County Tot Mig-Diff St",118,237,3596
"01","013","98","000","AL","Butler County Tot Mig-Foreign",-1,-1,-1
"01","013","01","013","AL","Butler County Non-Migrants",6819,15293,249162
"01","013","01","101","AL","Montgomery County",75,146,2465
"01","013","01","041","AL","Crenshaw County",24,51,573
"01","013","01","085","AL","Lowndes County",24,62,702
"01","013","01","039","AL","Covington County",17,36,497
"01","013","01","051","AL","Elmore County",15,27,666
"01","013","01","073","AL","Jefferson County",11,19,397
"01","013","01","097","AL","Mobile County",10,12,301
"01","013","58","000","SS","Other Flows - Same State",82,182,2405
"01","013","59","000","DS","Other Flows - Diff State",118,237,3596
"01","015","96","000","AL","Calhoun County Tot Mig-US & For",2175,4389,73950
"01","015","97","000","AL","Calhoun County Tot Mig-US",2151,4346,73146
"01","015","97","001","AL","Calhoun County Tot Mig-Same St",1236,2545,41723
"01","015","97","003","AL","Calhoun County Tot Mig-Diff St",915,1801,31423
"01","015","98","000","AL","Calhoun County Tot Mig-Foreign",24,43,804
"01","015","01","015","AL","Calhoun County Non-Migrants",38450,85427,1723879
"01","015","01","121","AL","Talladega County",283,628,9119
"01","015","01","055","AL","Etowah County",173,377,5326
"01","015","01","073","AL","Jefferson County",135,225,4594
